Sector,AverageMonthlyContribution,TotalContribution
Technology,0.0037672677155842615,0.26747600780648256
Industrials,0.0021670875513069535,0.1538632161427937
Financial Services,0.0017573451593367224,0.12477150631290729
Consumer Cyclical,0.0016366584225064242,0.11620274799795612
Healthcare,0.0015582023615506736,0.11063236767009782
Utilities,0.0006035774952416264,0.04285400216215547
Energy,0.0005194678948000673,0.036882220530804775
Consumer Defensive,0.0005044614272608744,0.03581676133552208
Real Estate,0.0004592404536391913,0.03260607220838258
Basic Materials,0.0004292633878346534,0.03047770053626039
Communication Services,0.0003912074438293068,0.027775728511880784
