Sector,AverageMonthlyContribution,TotalContribution,ShareOfTotalContribution
Technology,0.005070861693140962,0.3549603185198673,0.3470870657970722
Industrials,0.0021473734719903207,0.15031614303932245,0.14698203237760304
Healthcare,0.0014784046521179445,0.10348832564825611,0.10119288669585379
Consumer Cyclical,0.0014732881122012777,0.10313016785408943,0.10084267307651733
Financial Services,0.001343470808351316,0.09404295658459212,0.0919570221142919
Energy,0.0013672980796068143,0.07246679821916116,0.07085943709561258
Communication Services,0.000956046162415081,0.06118695439456518,0.05982978760675257
Basic Materials,0.0007346371542504377,0.05142460079753064,0.05028396941671575
Real Estate,0.00023643596282111318,0.012767541992340111,0.012484349535296589
Utilities,0.00025225770265965917,0.01210836972766364,0.01183979814387518
Consumer Defensive,0.00010136747378939393,0.006791620743889393,0.006640978140409122
